DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
31-Mar-17,UAE,PNG,UAE,82 runs ,Abu Dhabi,Yes
1-Apr-17,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Singhalese Sports club Ground,Yes
2-Apr-17,UAE,PNG,PNG,26 runs,Abu Dhabi,Yes
4-Apr-17,UAE,PNG,UAE,103 runs,Abu Dhabi,Yes
7-Apr-17,West Indies,Pakistan,West Indies,4 wickets,Providence stadium,Yes
9-Apr-17,West Indies,Pakistan,Pakistan,74 runs,Providence stadium,Yes
11-Apr-17,West Indies,Pakistan,Pakistan,6 wickets,Providence stadium,Yes
5-May-17,England,Ireland,England,7 wickets,Bristol,Yes
7-May-17,England,Ireland,England,85 runs,Lords,Yes
12-May-17,Ireland,Bangladesh,NaN,NaN,Village,No
14-May-17,Ireland,NewZeland,NewZeland,51 runs,Village,Yes
17-May-17,Bangladesh,NewZeland,NewZeland,4 wickets,Castle Avenue,Yes
19-May-17,Ireland,Bangladesh,Bangladesh,8 wickets,Village,Yes
21-May-17,Ireland,NewZeland,NewZeland,190 runs,Village,Yes
24-May-17,England,South Africa,England,72 runs,Headingly,Yes
24-May-17,Bangladesh,NewZeland,Bangladesh,5 wickets,Castle Avenue,Yes
27-May-17,England,South Africa,England,2  runs,The Rose Bowl,Yes
29-May-17,England,South Africa,South Africa,7 wickets,Lords,Yes
1-Jun,England,Bangladesh,England,8 wickets,Kensington Oval,Yes
2-Jun,Australia,NewZeland,NaN,NaN,Edgebaston,No
3-Jun,Sri Lanka,South Africa,South Africa,96 runs,Kensington Oval,Yes
4-Jun,India,Pakistan,India,124 runs,Edgebaston,Yes
5-Jun,Australia,Bangladesh,NaN,NaN,Kensington Oval,No
6-Jun,England,NewZeland,England,87 runs,Sophia Garden,Yes
7-Jun,Pakistan,South Africa,Pakistan,19 runs,Edgebaston,Yes
8-Jun,India,Sri Lanka,Sri Lanka,7 wickets,Kensington Oval,Yes
9-Jun,West Indies,Afganisthan,Afganisthan,63 runs,Darren Sammy NCS,Yes
9-Jun-17,NewZeland,Bangladesh,Bangladesh,5 wickets,Sophia Garden,Yes
10-Jun-17,England,Australia,England,40 runs,Edgebaston,Yes
11-Jun-17,West Indies,Afganisthan,West Indies,4 wickets,Darren Sammy NCS,Yes
11-Jun-17,India,South Africa,india,8 wickets,Kensington Oval,Yes
12-Jun-17,Sri Lanka,Pakistan,Pakistan,3 wickets,Sophia Garden,Yes
14-Jun-17,West Indies,Afganisthan,NaN,NaN,Darren Sammy NCS,No
14-Jun-17,England,Pakistan,Pakistan,8 wickets,Sophia Garden,Yes
15-Jun-17,Scotland,Zimbabwe,Scotland,26 runs,Grange Cricket Club,Yes
15-Jun-17,Bangladesh,India,India,9 wickets,Edgebaston,Yes
17-Jun-17,Scotland,Zimbabwe,Zimbabwe,6 wickets,Grange Cricket Club,Yes
18-Jun-17,India,Pakistan,Pakistan,180 runs,Kensington Oval,Yes
23-Jun-17,West Indies,India,NaN,NaN,Queen's Park Oval,No
25-Jun-17,West Indies,India,India,105 runs,Queen's Park Oval,Yes
30-Jun-17,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,Yes
30-Jun-17,West Indies,India,India,93 runs,SVVR Stadium,Yes
2-Jul-17,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,Yes
2-Jul-17,West Indies,India,West Indies,11 runs,SVVR Stadium,Yes
6-Jul-17,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Mahinda Rajapaksha Interntional cricket stadium,Yes
6-Jul-17,West Indies,India,india,8 wickets,Sabina Park,Yes
